Student_Names,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment
Santanika Sonkar,5,No,82,51,36,C,Below Average Achivement
Swaroop Pandey,4,Yes,42,46,40,D,Poor Pursuance
Vaijinath Sonkar,10,Yes,36,55,48,D,Poor Pursuance
Roop Lal Kumari,8,No,71,67,34,C,Below Average Achivement
जयराम Maurrya,9,Yes,85,92,36,B+,Good Pursuance
Rashid Vishwakarma,2,Yes,20,58,97,C,Below Average Achivement
Gotu Rao,5,Yes,62,30,44,D,Poor Pursuance
Rajen Maurya,4,No,92,11,32,D,Poor Pursuance
Mohon Rai,7,Yes,73,71,96,B+,Good Pursuance
Parray Pandey,9,Yes,12,60,19,F,Failed
Anshu Kumar Gupta,10,No,79,50,70,B,Average Performance
Nazneen Rai,7,Yes,78,46,19,D,Poor Pursuance
Abodh Divedi,4,No,50,39,15,D,Poor Pursuance
Bharatsinh Rao,9,No,14,21,86,D,Poor Pursuance
Subhendu Devi,2,Yes,90,60,53,B,Average Performance
Baharul Kumari,8,No,53,52,65,C,Below Average Achivement
Aizaz Mishra,5,Yes,94,66,59,B+,Good Pursuance
Ashi Pandey,5,No,66,23,12,D,Poor Pursuance
नीरज Yadav,1,No,75,10,79,C,Below Average Achivement
Maheah Mishra,7,No,99,49,94,B+,Good Pursuance
Md Siraj Tiwari,2,Yes,53,92,16,C,Below Average Achivement
Shivukumar Tiwari,2,Yes,81,57,60,B,Average Performance
Talib Khan Kumar,8,No,53,85,24,C,Below Average Achivement
Snehlata Srivastav,6,Yes,97,70,78,A,Very Good Achivement
Dharamvir Rajput,7,No,52,65,22,D,Poor Pursuance
Lovly Tiwari,1,Yes,84,88,85,A,Very Good Achivement
Vaibhav Devi,10,Yes,39,82,64,B,Average Performance
Sangita Tiwari,2,Yes,59,49,40,D,Poor Pursuance
Mariyam Srivastav,5,Yes,13,40,58,D,Poor Pursuance
Md Nasim Seth,2,Yes,39,16,87,D,Poor Pursuance
Tabrej Devi,6,No,51,79,77,B,Average Performance
Deepansh Maurrya,2,Yes,92,69,65,B+,Good Pursuance
Hayat Rai,7,No,85,16,81,C,Below Average Achivement
Yogash Vishwakarma,5,No,77,61,77,B+,Good Pursuance
Nizam Thakur,7,No,44,11,40,F,Failed
Narasappa Seth,8,Yes,31,16,37,F,Failed
Rupsingh Srivastav,10,Yes,57,97,60,B+,Good Pursuance
Shantha Vishwakarma,7,No,73,61,50,B,Average Performance
Jahidul Maurrya,2,No,38,47,92,C,Below Average Achivement
Kadar Srivastav,8,No,50,86,76,B,Average Performance
Khyali Pandit,6,No,32,46,39,D,Poor Pursuance
Arshad Pandey,6,Yes,30,26,92,D,Poor Pursuance
Sk Khan Gupta,2,Yes,52,99,68,B+,Good Pursuance
Indar Divedi,1,Yes,76,44,30,D,Poor Pursuance
Ck Rajput,9,Yes,10,10,45,F,Failed
Mukesh Patel Srivastav,1,No,71,84,74,B+,Good Pursuance
Kesha Thakur,7,No,18,55,55,D,Poor Pursuance
Pradipta Tiwari,7,Yes,45,68,69,C,Below Average Achivement
Devid Rajput,1,No,35,59,58,D,Poor Pursuance
Kabali Divedi,10,Yes,91,20,99,B,Average Performance
Denesh Devi,9,No,36,21,57,D,Poor Pursuance
Sandhyarani Seth,4,Yes,21,44,29,F,Failed
Nemchand Rai,3,Yes,48,88,56,B,Average Performance
Paran Divedi,9,No,43,77,81,B,Average Performance
Shashwat Thakur,1,No,67,84,47,B,Average Performance
Kalaivanan Gupta,3,Yes,43,23,23,F,Failed
Ajay Das Singh,7,No,97,43,68,B,Average Performance
Gautami Rajput,6,No,62,59,54,C,Below Average Achivement
Kulwant Vishwakarma,10,Yes,29,37,23,F,Failed
सतीश Gupta,7,Yes,80,43,46,C,Below Average Achivement
Sakaram Sonkar,5,No,39,13,35,F,Failed
Junad Rao,5,Yes,82,56,52,B,Average Performance
Dabhi Gupta,8,No,92,35,12,D,Poor Pursuance
Balakrishna Srivastav,4,No,76,61,58,B,Average Performance
Resham Rajput,9,Yes,77,80,36,B,Average Performance
Balli Kumari,10,No,35,13,79,D,Poor Pursuance
Girika Seth,1,Yes,63,89,17,C,Below Average Achivement
Bhoi Singh,4,No,34,60,61,C,Below Average Achivement
Brajraj Rai,5,No,24,50,15,F,Failed
Jasbir Rao,3,Yes,57,54,45,C,Below Average Achivement
Sahed Gupta,8,No,94,43,58,B,Average Performance
Raashid Vishwakarma,7,No,16,80,99,B,Average Performance
Sentu Pratap,7,Yes,66,100,56,B+,Good Pursuance
Subrat Devi,5,No,37,48,12,F,Failed
Yogender Pandey,1,No,60,96,50,B,Average Performance
Saptarshi Maurya,2,Yes,15,90,34,D,Poor Pursuance
Rajeswari Kumari,7,No,73,84,21,C,Below Average Achivement
Sanjay Singh Pandey,7,No,92,69,20,C,Below Average Achivement
Anjana Sonkar,2,Yes,88,79,95,A,Very Good Achivement
Rameshvar Gupta,9,No,88,69,84,B+,Good Pursuance
Sher Bahadur Singh,6,Yes,11,64,85,C,Below Average Achivement
Rushab Tiwari,4,Yes,97,64,98,A,Very Good Achivement
Ganga Yadav,5,No,68,20,35,D,Poor Pursuance
Dilshad Pandey,7,No,93,68,19,C,Below Average Achivement
