Student_Names,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Santanika Sonkar,"28_METE, 29_TEXE, 31_POLE",01_CSE,B.E/B.Tech in Computer Science & Engineering ,5.0
Swaroop Pandey,Better luck next time,02_CSAI,B.E/B.Tech in Computer Science & Engineering (AI),4.5
Vaijinath Sonkar,Better luck next time,03_CSDS,B.E/B.Tech in Computer Science & Engineering ( Data Science),5.0
Roop Lal Kumari,"28_METE, 29_TEXE, 31_POLE",04_CSR,B.E/B.Tech in Computer Science & Engineering (Robotics),3.0
जयराम Maurrya,"02_CSAI, 32_BC, 35_BSC",05_CSECS,B.E/B.Tech in Computer Science & Engineering (Cyber Security),4.5
Rashid Vishwakarma,"28_METE, 29_TEXE, 31_POLE",06_CSIOT,B.E/B.Tech in Computer Science & Engineering (IOT ),5.0
Gotu Rao,Better luck next time,07_CSBS,B.E/B.Tech in Computer Science and Business System (CSBS),3.0
Rajen Maurya,Better luck next time,08_ESE,B.E/B.Tech in Electronic Engineering,5.0
Mohon Rai,Better luck next time,09_ECE,B.E/B.Tech in Electronics and Communication Engineering ,5.0
Parray Pandey,Better luck next time,10_EE,B.E/B.Tech in Electrical Engineering,5.0
Anshu Kumar Gupta,"04_CSR, 24_PROD, 13_CE",11_ME,B.E/B.Tech in Mechanical Engineering,5.0
Nazneen Rai,Better luck next time,12_AE,B.E/B.Tech in Aerospace Engineering,2.5
Abodh Divedi,Better luck next time,13_CE,B.E/B.Tech in Civil Engineering,3.0
Bharatsinh Rao,Better luck next time,14_AUE,B.E/B.Tech in Automobile Engineering,2.5
Subhendu Devi,"04_CSR, 24_PROD, 13_CE",15_CHE,B.E/B.Tech in Chemical Engineering,4.5
Baharul Kumari,"28_METE, 29_TEXE, 31_POLE",16_BIOE,B.E/B.Tech in Biomedical Engineer,4.0
Aizaz Mishra,"02_CSAI, 32_BC, 35_BSC",17_PE,B.E/B.Tech in Petroleum Engineering,2.5
Ashi Pandey,Better luck next time,18_MIE,B.E/B.Tech in Mining Engineering,2.5
नीरज Yadav,"28_METE, 29_TEXE, 31_POLE",19_MECH,B.E/B.Tech in Mechatronics,3.0
