EmpID,FirstName,LastName,DOB,GenderCode,RaceDesc,MaritalDesc,State,LocationCode,ADEmail
3427,Uriah,Bridges,07-10-1969,Female,White,Widowed,MA,34904,uriah.bridges@bilearner.com
3428,Paula,Small,30-08-1965,Male,Hispanic,Widowed,MA,6593,paula.small@bilearner.com
3429,Edward,Buck,06-10-1991,Male,Hispanic,Widowed,MA,2330,edward.buck@bilearner.com
3430,Michael,Riordan,04-04-1998,Male,Other,Single,ND,58782,michael.riordan@bilearner.com
3431,Jasmine,Onque,29-08-1969,Female,Other,Married,FL,33174,jasmine.onque@bilearner.com
3432,Maruk,Fraval,03-04-1949,Male,Black,Married,CT,6050,maruk.fraval@bilearner.com
3433,Latia,Costa,01-07-1942,Female,Hispanic,Divorced,CA,90007,latia.costa@bilearner.com
3434,Sharlene,Terry,07-03-1957,Female,White,Divorced,OR,97756,sharlene.terry@bilearner.com
3435,Jac,McKinzie,15-05-1974,Male,Black,Widowed,TX,78789,jac.mckinzie@bilearner.com
3436,Joseph,Martins,11-11-1949,Male,Asian,Widowed,TX,78207,joseph.martins@bilearner.com
3437,Myriam,Givens,26-01-1964,Female,Other,Single,IN,46204,myriam.givens@bilearner.com
3438,Dheepa,Nguyen,06-04-1948,Female,Asian,Married,GA,30428,dheepa.nguyen@bilearner.com
3439,Bartholemew,Khemmich,24-11-1981,Male,Other,Single,CO,80820,bartholemew.khemmich@bilearner.com
3440,Xana,Potts,06-11-1951,Female,White,Divorced,KY,40220,xana.potts@bilearner.com
3441,Prater,Jeremy,21-11-1989,Male,Asian,Widowed,NV,89139,prater.jeremy@bilearner.com
3442,Kaylah,Moon,24-11-1952,Male,Black,Single,MA,2810,kaylah.moon@bilearner.com
3443,Kristen,Tate,08-04-1994,Male,Asian,Widowed,KY,2621,kristen.tate@bilearner.com
3444,Bobby,Rodgers,15-11-1983,Male,Other,Widowed,KY,44553,bobby.rodgers@bilearner.com
3445,Reid,Park,07-12-1985,Female,Other,Married,KY,5360,reid.park@bilearner.com
3446,Hector,Dalton,01-05-1996,Female,White,Divorced,TX,16325,hector.dalton@bilearner.com
3447,Mariela,Schultz,17-02-1964,Female,Asian,Widowed,TX,43481,mariela.schultz@bilearner.com
3448,Angela,Molina,12-05-1958,Male,Asian,Widowed,TX,50705,angela.molina@bilearner.com
3449,Gerald,Preston,18-09-1992,Male,Black,Single,CO,5168,gerald.preston@bilearner.com
3450,Reilly,Moyer,11-08-1994,Male,Other,Single,CO,11765,reilly.moyer@bilearner.com
3451,Carlee,French,15-01-1968,Male,Other,Divorced,CO,71071,carlee.french@bilearner.com
3452,Jaydon,Blackburn,07-01-1947,Male,Black,Divorced,IN,12122,jaydon.blackburn@bilearner.com
3453,Bridger,Carter,07-04-1982,Male,White,Widowed,MA,87065,bridger.carter@bilearner.com
3454,Leon,Beard,29-01-1970,Male,Hispanic,Married,KY,10415,leon.beard@bilearner.com
3455,Charity,Miranda,18-01-1999,Male,Other,Widowed,KY,3763,charity.miranda@bilearner.com
3456,Axel,Howe,25-09-1946,Female,Black,Divorced,KY,79623,axel.howe@bilearner.com
3457,Milton,Wall,23-08-1947,Female,White,Divorced,KY,69189,milton.wall@bilearner.com
3458,Cory,Robinson,12-08-1996,Female,Hispanic,Single,TX,5194,cory.robinson@bilearner.com
3459,Saniya,Yu,09-02-1944,Male,Black,Widowed,TX,8779,saniya.yu@bilearner.com
3460,Alisa,James,10-02-1944,Male,Asian,Married,TX,74682,alisa.james@bilearner.com
3461,Lincoln,Compton,29-12-1997,Male,Hispanic,Married,CO,78046,lincoln.compton@bilearner.com
3462,Aliana,Nolan,09-08-1942,Male,Hispanic,Divorced,CO,27270,aliana.nolan@bilearner.com
3463,Kayden,Dodson,21-06-1951,Male,Hispanic,Single,IN,12703,kayden.dodson@bilearner.com
3464,James,Duke,17-06-1998,Male,Black,Widowed,MA,66835,james.duke@bilearner.com
3465,Willow,Stuart,07-01-1962,Male,Asian,Divorced,MA,66150,willow.stuart@bilearner.com
3466,Clayton,Walker,26-01-1979,Male,Other,Married,KY,64288,clayton.walker@bilearner.com
3467,Celia,Curtis,14-05-1987,Female,Asian,Divorced,KY,94333,celia.curtis@bilearner.com
3468,Valentin,Reilly,26-04-1998,Female,Black,Single,KY,45453,valentin.reilly@bilearner.com
3469,Ryland,Shepherd,21-02-1945,Female,Asian,Divorced,TX,81905,ryland.shepherd@bilearner.com
