Student_Names,Phone_No.,Gender
Santanika Sonkar,9906433252,Male
Swaroop Pandey,9724400276,Female
Vaijinath Sonkar,9866358126,Male
Roop Lal Kumari,9657626856,Male
जयराम Maurrya,9804752911,Male
Rashid Vishwakarma,9370508784,Female
Gotu Rao,9495502267,Male
Rajen Maurya,9955566268,Male
Mohon Rai,9646504544,Female
Parray Pandey,9121453016,Male
Anshu Kumar Gupta,9436342617,Female
Nazneen Rai,9371865537,Female
Abodh Divedi,9846924218,Female
Bharatsinh Rao,9934518566,Female
Subhendu Devi,9497229234,Female
Baharul Kumari,9798540797,Female
Aizaz Mishra,9997856986,Female
Ashi Pandey,9072509908,Male
नीरज Yadav,9975296319,Male
Maheah Mishra,9648693653,Female
Md Siraj Tiwari,9695684701,Female
Shivukumar Tiwari,9846194891,Female
Talib Khan Kumar,9681054628,Female
Snehlata Srivastav,9545288446,Male
Dharamvir Rajput,9589232859,Female
Lovly Tiwari,9101117557,Female
Vaibhav Devi,9464665406,Male
Sangita Tiwari,9809349320,Male
Mariyam Srivastav,9720207632,Female
Md Nasim Seth,9824689037,Female
Tabrej Devi,9300368051,Female
Deepansh Maurrya,9571473482,Male
Hayat Rai,9553362005,Male
Yogash Vishwakarma,9256712216,Male
Nizam Thakur,9899098496,Male
Narasappa Seth,9020662823,Female
Rupsingh Srivastav,9131711391,Male
Shantha Vishwakarma,9848187777,Female
Jahidul Maurrya,9920322337,Female
Kadar Srivastav,9791313813,Male
Khyali Pandit,9227150771,Male
Arshad Pandey,9815029001,Female
Sk Khan Gupta,9316650556,Female
Indar Divedi,9093987571,Female
Ck Rajput,9372099415,Male
Mukesh Patel Srivastav,9631303240,Male
Kesha Thakur,9647962112,Male
Pradipta Tiwari,9866753896,Female
Devid Rajput,9012109661,Male
Kabali Divedi,9244358398,Female
Denesh Devi,9868386372,Male
Sandhyarani Seth,9995107874,Female
Nemchand Rai,9149043399,Male
Paran Divedi,9385155737,Female
Shashwat Thakur,9607959166,Male
Kalaivanan Gupta,9763360283,Male
Ajay Das Singh,9629929039,Male
Gautami Rajput,9174309489,Female
Kulwant Vishwakarma,9584433534,Female
सतीश Gupta,9416784669,Female
Sakaram Sonkar,9352438684,Female
Junad Rao,9174004284,Female
Dabhi Gupta,9958974447,Female
Balakrishna Srivastav,9531097384,Female
Resham Rajput,9001362536,Female
Balli Kumari,9334510962,Male
Girika Seth,9489918015,Female
Bhoi Singh,9144301148,Male
Brajraj Rai,9314318469,Male
Jasbir Rao,9076237457,Male
Sahed Gupta,9137644088,Female
Raashid Vishwakarma,9164023623,Female
Sentu Pratap,9362288232,Female
Subrat Devi,9659714961,Female
Yogender Pandey,9172716690,Male
Saptarshi Maurya,9454905125,Male
Rajeswari Kumari,9067546368,Male
Sanjay Singh Pandey,9717933457,Female
Anjana Sonkar,9460824870,Female
Rameshvar Gupta,9159362438,Male
Sher Bahadur Singh,9754993084,Female
Rushab Tiwari,9861253662,Male
Ganga Yadav,9071154029,Male
Dilshad Pandey,9502921445,Male
Shinchan Divedi,9135971803,Male
Avez Singh,9205328523,Male
Raaja Maurya,9974587134,Female
Malkit Pandey,9415221419,Female
Prosen Rao,9470030669,Female
Farookh Gupta,9708480078,Female
Tejpal Singh Gupta,9637917507,Male
Divaakar Yadav,9530967480,Male
Gayasuddin Gupta,9523609031,Male
Taijul Kumari,9548609474,Female
Takeshwar Mishra,9220045586,Male
मिथुन Mishra,9743411753,Female
Pinu Srivastav,9088733709,Female
Dhirender Devi,9108630566,Male
दिनेश Yadav,9619663029,Female
Rageshwari Yadav,9443001578,Male
Shah Nawaz Pandey,9656554667,Male
Jay Shankar Sonkar,9859922701,Male
Malini Divedi,9542960824,Female
Akash Mishra,9906427469,Male
